dateTime,Temperature(°C)
6/23/2021 12:00,19.57
6/23/2021 12:04,19.2
6/23/2021 12:08,19.08
6/23/2021 12:12,19.08
6/23/2021 12:16,19.08
6/23/2021 12:20,19.08
6/23/2021 12:24,19.17
6/23/2021 12:28,19.01
6/23/2021 12:32,19.08
6/23/2021 12:36,19.45
6/23/2021 12:40,19.32
6/23/2021 12:44,19.2
6/23/2021 12:48,19.2
6/23/2021 12:52,19.2
6/23/2021 12:56,19.29
6/23/2021 13:00,19.2
6/23/2021 13:04,19.2
6/23/2021 13:08,19.2
6/23/2021 13:12,19.26
6/23/2021 13:16,19.23
6/23/2021 13:20,19.32
6/23/2021 13:24,19.32
6/23/2021 13:28,19.32
6/23/2021 13:32,19.32
6/23/2021 13:36,19.32
6/23/2021 13:40,19.45
6/23/2021 13:44,19.45
6/23/2021 13:48,19.45
6/23/2021 13:52,19.45
6/23/2021 13:56,19.45
6/23/2021 14:00,19.54
6/23/2021 14:04,19.48
6/23/2021 14:08,19.57
6/23/2021 14:12,19.48
6/23/2021 14:16,19.57
6/23/2021 14:20,20.43
6/23/2021 14:24,20.55
6/23/2021 14:28,20.67
6/23/2021 14:32,20.67
6/23/2021 14:36,20.67
6/23/2021 14:40,20.67
6/23/2021 14:44,20.67
6/23/2021 14:48,20.73
6/23/2021 14:52,20.76
6/23/2021 14:56,20.79
6/23/2021 15:00,20.73
6/23/2021 15:04,20.76
6/23/2021 15:08,20.79
6/23/2021 15:12,20.79
6/23/2021 15:16,20.79
6/23/2021 15:20,20.79
6/23/2021 15:24,20.79
6/23/2021 15:28,20.79
6/23/2021 15:32,20.79
6/23/2021 15:36,20.79
6/23/2021 15:40,20.79
6/23/2021 15:44,20.79
6/23/2021 15:48,20.79
6/23/2021 15:52,20.79
6/23/2021 15:56,20.79
6/23/2021 16:00,20.79
6/23/2021 16:04,20.79
6/23/2021 16:08,20.79
6/23/2021 16:12,20.79
6/23/2021 16:16,20.82
6/23/2021 16:20,20.88
6/23/2021 16:24,20.91
6/23/2021 16:28,20.91
6/23/2021 16:32,20.91
6/23/2021 16:36,20.91
6/23/2021 16:40,20.94
6/23/2021 16:44,20.97
6/23/2021 16:48,20.97
6/23/2021 16:52,21
6/23/2021 16:56,21.03
6/23/2021 17:00,21.03
6/23/2021 17:04,21.03
6/23/2021 17:08,21.03
6/23/2021 17:12,21.03
6/23/2021 17:16,21.03
6/23/2021 17:20,21.03
6/23/2021 17:24,21.03
6/23/2021 17:28,21.03
6/23/2021 17:32,21.03
6/23/2021 17:36,21.03
6/23/2021 17:40,21.03
6/23/2021 17:44,21.03
6/23/2021 17:48,21.03
6/23/2021 17:52,21.06
6/23/2021 17:56,21.09
6/23/2021 18:00,21.09
6/23/2021 18:04,21.09
6/23/2021 18:08,21.06
6/23/2021 18:12,21.03
6/23/2021 18:16,21.03
6/23/2021 18:20,21.03
6/23/2021 18:24,21.03
6/23/2021 18:28,21.03
6/23/2021 18:32,21.03
6/23/2021 18:36,21.03
6/23/2021 18:40,21.03
6/23/2021 18:44,21.03
6/23/2021 18:48,21.03
6/23/2021 18:52,21.03
6/23/2021 18:56,21.03
6/23/2021 19:00,21.03
6/23/2021 19:04,21
6/23/2021 19:08,20.94
6/23/2021 19:12,20.91
6/23/2021 19:16,20.91
6/23/2021 19:20,20.91
6/23/2021 19:24,20.91
6/23/2021 19:28,20.91
6/23/2021 19:32,20.91
6/23/2021 19:36,20.85
6/23/2021 19:40,20.79
6/23/2021 19:44,20.79
6/23/2021 19:48,20.79
6/23/2021 19:52,20.79
6/23/2021 19:56,20.73
6/23/2021 20:00,20.67
6/23/2021 20:04,20.67
6/23/2021 20:08,20.67
6/23/2021 20:12,20.61
6/23/2021 20:16,20.55
6/23/2021 20:20,20.55
6/23/2021 20:24,20.55
6/23/2021 20:28,20.43
6/23/2021 20:32,20.43
6/23/2021 20:36,20.43
6/23/2021 20:40,20.33
6/23/2021 20:44,20.3
6/23/2021 20:48,20.3
6/23/2021 20:52,20.27
6/23/2021 20:56,20.18
6/23/2021 21:00,20.18
6/23/2021 21:04,20.15
6/23/2021 21:08,20.06
6/23/2021 21:12,20.06
6/23/2021 21:16,20.06
6/23/2021 21:20,19.94
6/23/2021 21:24,19.94
6/23/2021 21:28,19.94
6/23/2021 21:32,19.91
6/23/2021 21:36,19.82
6/23/2021 21:40,19.82
6/23/2021 21:44,19.82
6/23/2021 21:48,19.69
6/23/2021 21:52,19.69
6/23/2021 21:56,19.69
6/23/2021 22:00,19.57
6/23/2021 22:04,19.57
6/23/2021 22:08,19.57
6/23/2021 22:12,19.57
6/23/2021 22:16,19.45
6/23/2021 22:20,19.45
6/23/2021 22:24,19.45
6/23/2021 22:28,19.35
6/23/2021 22:32,19.32
6/23/2021 22:36,19.32
6/23/2021 22:40,19.32
6/23/2021 22:44,19.2
6/23/2021 22:48,19.2
6/23/2021 22:52,19.2
6/23/2021 22:56,19.2
6/23/2021 23:00,19.08
6/23/2021 23:04,19.08
6/23/2021 23:08,19.08
6/23/2021 23:12,19.05
6/23/2021 23:16,18.95
6/23/2021 23:20,18.95
6/23/2021 23:24,18.95
6/23/2021 23:28,18.95
6/23/2021 23:32,18.83
6/23/2021 23:36,18.83
6/23/2021 23:40,18.83
6/23/2021 23:44,18.83
6/23/2021 23:48,18.7
6/23/2021 23:52,18.7
6/23/2021 23:56,18.7
6/24/2021 00:00,18.7
6/24/2021 00:04,18.61
6/24/2021 00:08,18.58
6/24/2021 00:12,18.58
6/24/2021 00:16,18.58
6/24/2021 00:20,18.55
6/24/2021 00:24,18.45
6/24/2021 00:28,18.45
6/24/2021 00:32,18.45
6/24/2021 00:36,18.45
6/24/2021 00:40,18.39
6/24/2021 00:44,18.33
6/24/2021 00:48,18.33
6/24/2021 00:52,18.33
6/24/2021 00:56,18.33
6/24/2021 01:00,18.27
6/24/2021 01:04,18.2
6/24/2021 01:08,18.2
6/24/2021 01:12,18.2
6/24/2021 01:16,18.2
6/24/2021 01:20,18.17
6/24/2021 01:24,18.08
6/24/2021 01:28,18.08
6/24/2021 01:32,18.08
6/24/2021 01:36,18.08
6/24/2021 01:40,18.08
6/24/2021 01:44,17.98
6/24/2021 01:48,17.95
6/24/2021 01:52,17.95
6/24/2021 01:56,17.95
6/24/2021 02:00,17.95
6/24/2021 02:04,17.92
6/24/2021 02:08,17.86
6/24/2021 02:12,17.83
6/24/2021 02:16,17.83
6/24/2021 02:20,17.83
6/24/2021 02:24,17.83
6/24/2021 02:28,17.76
6/24/2021 02:32,17.7
6/24/2021 02:36,17.7
6/24/2021 02:40,17.7
6/24/2021 02:44,17.7
6/24/2021 02:48,17.7
6/24/2021 02:52,17.6
6/24/2021 02:56,17.57
6/24/2021 03:00,17.57
6/24/2021 03:04,17.57
6/24/2021 03:08,17.57
6/24/2021 03:12,17.57
6/24/2021 03:16,17.51
6/24/2021 03:20,17.44
6/24/2021 03:24,17.44
6/24/2021 03:28,17.44
6/24/2021 03:32,17.44
6/24/2021 03:36,17.44
6/24/2021 03:40,17.41
6/24/2021 03:44,17.32
6/24/2021 03:48,17.32
6/24/2021 03:52,17.32
6/24/2021 03:56,17.32
6/24/2021 04:00,17.32
6/24/2021 04:04,17.32
6/24/2021 04:08,17.32
6/24/2021 04:12,17.22
6/24/2021 04:16,17.19
6/24/2021 04:20,17.19
6/24/2021 04:24,17.19
6/24/2021 04:28,17.19
6/24/2021 04:32,17.19
6/24/2021 04:36,17.19
6/24/2021 04:40,17.09
6/24/2021 04:44,17.06
6/24/2021 04:48,17.06
6/24/2021 04:52,17.06
6/24/2021 04:56,17.06
6/24/2021 05:00,17.06
6/24/2021 05:04,17.03
6/24/2021 05:08,16.97
6/24/2021 05:12,16.93
6/24/2021 05:16,16.93
